transaction_id,account_id,line_item,amount,transaction_date
TX101,ACC201,salary,6000.00,2025-03-04
TX102,ACC202,rent,-2200.00,2025-03-04
TX103,ACC203,utilities,-550.00,2025-03-04
TX104,ACC204,sales,4500.00,2025-03-04
TX105,ACC205,marketing,-1800.00,2025-03-04
TX106,ACC206,software,-950.00,2025-03-04
TX107,ACC207,hardware,-1500.00,2025-03-04
TX108,ACC208,consulting,-3000.00,2025-03-04
TX109,ACC209,training,-1200.00,2025-03-04
TX110,ACC210,salary,5500.00,2025-03-04
TX111,ACC211,sales,3800.00,2025-03-04
TX112,ACC212,rent,-1900.00,2025-03-04
TX113,ACC213,insurance,-800.00,2025-03-04
TX114,ACC214,taxes,-1500.00,2025-03-04
TX115,ACC215,supplies,-350.00,2025-03-04
