line_item,total_amount,department,category,report_date
rent,-4100.0,Deckow-Crist,EXPENSE,2025-03-04
sales,8300.0,Johns Group,REVENUE,2025-03-04
taxes,-1500.0,Hoeger LLC,EXPENSE,2025-03-04
salary,11500.0,Keebler LLC,REVENUE,2025-03-04
hardware,-1500.0,Keebler LLC,EXPENSE,2025-03-04
software,-950.0,Considine-Lockman,EXPENSE,2025-03-04
supplies,-350.0,Abernathy Group,EXPENSE,2025-03-04
training,-1200.0,Yost and Sons,EXPENSE,2025-03-04
insurance,-800.0,Yost and Sons,EXPENSE,2025-03-04
marketing,-1800.0,Keebler LLC,EXPENSE,2025-03-04
utilities,-550.0,Keebler LLC,EXPENSE,2025-03-04
consulting,-3000.0,Romaguera-Jacobson,EXPENSE,2025-03-04

